"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
88, 2.723000012300000e-02, -2.718419978786347e-02, 7.186977199464898e-03, 3.167292009831330e-02, 4.474899130537332e-01, 2.361984455607541e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.442199262339253e-03
89, 2.232000045500000e-02, -2.482329437156798e-02, 3.382194782917549e-03, 8.016012632083833e-02, 4.788748665253093e-01, 1.405991849643330e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.810152772740773e-03
90, 1.789999939500000e-02, -2.241364555514381e-02, -1.397444185885430e-03, 1.409356672460222e-01, 5.089271869865151e-01, 2.417840713813929e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.710727525029425e-03
91, 1.394999958600000e-02, -1.994492353858276e-02, -7.319723105209226e-03, 2.163131048036811e-01, 5.346287631839561e-01, -1.230476106975508e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.738363800045717e-03
92, 1.049000024800000e-02, -1.742916196961543e-02, -1.468271869684642e-02, 3.101157462853131e-01, 5.515199259804626e-01, -2.979030558390015e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.164609603725914e-02
93, 7.519999985000000e-03, -1.486756313872443e-02, -2.348071761286158e-02, 4.226148987572998e-01, 5.523523039643130e-01, -5.085885557223401e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.102591412966391e-03
94, 5.040000193000000e-03, -1.226032473458219e-02, -3.369429070333477e-02, 5.547852743031390e-01, 5.266321236409275e-01, -7.436846776437436e-03, 0.000000000000000e+00, 0.000000000000000e+00, 7.100094665386527e-04
95, 3.049999941000000e-03, -9.605565346412577e-03, -4.415775454209198e-02, 6.964860327454264e-01, 4.647521361311852e-01, -9.955746823002489e-03, 0.000000000000000e+00, 0.000000000000000e+00, -5.295207101565749e-03
96, 1.560000004000000e-03, -6.917517506923035e-03, -5.340027648642797e-02, 8.318664202268704e-01, 3.597701434122033e-01, -1.270456040853009e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.393078598492030e-02
97, 5.600000150000000e-04, -4.173159738460802e-03, -6.027047260317565e-02, 9.402406945543847e-01, 2.131392097136120e-01, -1.399579487644939e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.503987260629323e-02
98, 5.999999800000000e-05, -1.375329724321098e-03, -6.450942621074152e-02, 9.910523695326687e-01, 3.786887930756989e-02, -1.508280894288610e-02, 0.000000000000000e+00, 0.000000000000000e+00, -6.556457674144284e-03
99, 0.000000000000000e+00, 0.000000000000000e+00, -6.492536482387881e-02, 9.918861428561450e-01, -8.950441086859562e-02, -1.585983547685004e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.193335081508312e-01
100, 5.999999800000000e-05, 1.375329724321098e-03, -6.095660904403342e-02, 9.657498675953720e-01, -2.130745718655218e-01, -1.444782029475600e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.002237640212338e-02
101, 5.600000150000000e-04, 4.173159738460802e-03, -5.249615516441387e-02, 8.894414163745545e-01, -3.828863043683028e-01, -1.170044798841573e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.673682081891341e-02
102, 1.560000004000000e-03, 6.917517506923035e-03, -4.178145011428500e-02, 7.489931869838476e-01, -5.207289256637280e-01, -9.264884634804489e-03, 0.000000000000000e+00, 0.000000000000000e+00, -3.764820674201821e-02
103, 3.049999941000000e-03, 9.605565346412577e-03, -2.936444045487822e-02, 5.905274307705299e-01, -6.097343511093611e-01, -5.533642257307091e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.235010381240047e-02
104, 5.040000193000000e-03, 1.226032473458219e-02, -1.668132161847932e-02, 4.347487898343684e-01, -6.507008756804539e-01, -2.594481785977322e-03, 0.000000000000000e+00, 0.000000000000000e+00, 7.243342821622310e-03
105, 7.519999985000000e-03, 1.486756313872443e-02, -5.569739570505684e-03, 2.978001754090772e-01, -6.539410656295922e-01, -4.591328466917983e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.246366621752268e-02
106, 1.049000024800000e-02, 1.742916196961543e-02, 3.229240899446046e-03, 1.856823042815782e-01, -6.327896670845867e-01, 2.047251473912993e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.505511871840019e-02
107, 1.394999958600000e-02, 1.994492353858276e-02, 1.008389370349098e-02, 9.574637869058382e-02, -5.987378949004291e-01, 3.657866313299039e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.088352436900768e-03
108, 1.789999939500000e-02, 2.241364555514381e-02, 1.526249830041803e-02, 2.573606060030961e-02, -5.589601767890239e-01, 4.915681668454205e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.379593734845319e-03
109, 2.232000045500000e-02, 2.482329437156798e-02, 1.917384091803562e-02, -2.887211492731913e-02, -5.174550598268289e-01, 5.831414823772795e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.639657872077044e-03
110, 2.723000012300000e-02, 2.718419978786347e-02, 2.207337544678110e-02, -7.103874558386972e-02, -4.767932803571166e-01, 6.537069803187258e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.262031333296121e-03
