"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,         281,      -8.916197691,      -8.023971722,      -8.510923464,                 0,      -8.800297545
          0,           0,         282,      -8.924726111,      -8.032293525,      -8.518513957,                 0,        -8.8082174
          0,           0,         283,      -8.933286647,      -8.040648455,      -8.526145816,                 0,      -8.816173011
          0,           0,         284,       -8.94187915,      -8.049036131,      -8.533818673,                 0,      -8.824164062
          0,           0,         285,      -8.950503596,      -8.057456189,      -8.541532106,                 0,      -8.832190213
          0,           0,         286,      -8.959160065,      -8.065908282,      -8.549285654,                 0,        -8.8402511
          0,           0,         287,      -8.967848729,      -8.074392078,      -8.557078831,                 0,      -8.848346338
          0,           0,         288,      -8.976569829,      -8.082907258,       -8.56491114,                 0,      -8.856475522
          0,           0,         289,      -8.985323647,      -8.091453517,      -8.572782091,                 0,      -8.864638231
          0,           0,         290,      -8.994110487,      -8.100030561,      -8.580691213,                 0,       -8.87283403
          0,           0,         291,      -9.002930641,      -8.108638103,      -8.588638068,                 0,      -8.881062477
          0,           0,         292,       -9.01178437,      -8.117275866,      -8.596622254,                 0,      -8.889323128
          0,           0,         293,      -9.020671878,      -8.125943578,      -8.604643415,                 0,      -8.897615539
          0,           0,         294,      -9.029593292,      -8.134640971,      -8.612701234,                 0,      -8.905939272
          0,           0,         295,      -9.038548651,      -8.143367782,      -8.620795435,                 0,      -8.914293904
          0,           0,         296,      -9.047537897,      -8.152123751,      -8.628925776,                 0,      -8.922679027
          0,           0,         297,      -9.056560873,       -8.16090862,      -8.637092036,                 0,      -8.931094261
          0,           0,         298,      -9.065617329,      -8.169722135,      -8.645294012,                 0,      -8.939539247
          0,           0,         299,      -9.074706928,      -8.178564046,      -8.653531503,                 0,      -8.948013662
