"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         196,      -5.186735713,      -2.964991268,      -2.547926913,      0.2938860605,      -7.052818403
          0,           0,         197,      -5.199383827,      -2.972097538,      -2.586239189,       0.281243157,      -7.053264086
          0,           0,         198,      -5.191446253,      -2.978399698,      -2.557861323,      0.2892156762,      -7.053669095
          0,           0,         199,      -5.184448644,      -2.986747798,      -2.576559715,      0.2962407923,      -7.054046112
          0,           0,         200,      -5.185190479,      -2.995999919,       -2.58601262,      0.2956019995,      -7.054360966
          0,           0,         201,      -5.170821734,       -3.00786158,      -2.593129173,      0.3100082674,      -7.054622053
          0,           0,         202,      -5.164874437,       -3.01990485,      -2.586754652,      0.3160167252,      -7.054836682
          0,           0,         203,      -5.174041769,      -3.039069304,      -2.626654329,      0.3068857217,      -7.054989909
          0,           0,         204,      -5.157410556,      -3.053766993,      -2.598479458,      0.3235298241,      -7.055088537
          0,           0,         205,      -5.150082842,      -3.066624669,      -2.619230352,      0.3307904859,      -7.055158122
          0,           0,         206,      -5.147297695,      -3.081874442,      -2.634258197,      0.3335944545,      -7.055175792
          0,           0,         207,      -5.149650268,      -3.088193855,      -2.630392752,      0.3313128856,      -7.055138733
          0,           0,         208,      -5.152019692,      -3.100431476,      -2.618539305,      0.3289352126,      -7.055065841
          0,           0,         209,      -5.163834908,      -3.106244042,      -2.648271253,      0.3171090959,       -7.05495607
          0,           0,         210,      -5.156962962,      -3.105567546,       -2.62556505,      0.3239210667,      -7.054822338
          0,           0,         211,      -5.165622177,      -3.102352741,      -2.620258199,      0.3151832554,      -7.054664003
          0,           0,         212,      -5.187829113,      -3.103826272,      -2.633447056,      0.2929587653,      -7.054466151
          0,           0,         213,      -5.185451085,      -3.094805063,      -2.617969714,      0.2953277744,      -7.054251297
          0,           0,         214,      -5.198541242,      -3.083230306,      -2.614324517,      0.2821914909,      -7.054036639
          0,           0,         215,      -5.220519879,      -3.080219586,      -2.624203902,      0.2601281515,       -7.05380809
          0,           0,         216,      -5.224552878,      -3.075225291,      -2.609515242,      0.2560226027,      -7.053574459
          0,           0,         217,      -5.227577698,      -3.070394426,      -2.608226047,      0.2529250133,      -7.053346554
          0,           0,         218,      -5.250292093,       -3.06559565,      -2.619064336,      0.2302358657,      -7.053124663
          0,           0,         219,      -5.235069079,       -3.06443565,      -2.613912806,      0.2454094572,      -7.052923391
          0,           0,         220,      -5.224835103,      -3.063740794,       -2.60044101,      0.2555350787,      -7.052752982
          0,           0,         221,      -5.243677163,       -3.07253331,      -2.633401401,      0.2366629409,      -7.052596362
          0,           0,         222,      -5.234370376,      -3.080129312,      -2.623560667,      0.2459845906,      -7.052461134
          0,           0,         223,       -5.22315358,      -3.086259462,      -2.623588195,      0.2571475991,      -7.052365038
          0,           0,         224,      -5.212853077,       -3.09884897,      -2.638708425,      0.2674561975,      -7.052328785
          0,           0,         225,      -5.210299018,      -3.108963844,      -2.656546977,      0.2700420218,      -7.052337122
